table,ground_truth
"Alpha,Beta
2394,-2750.224263
7221,-234.157552
","{""num_rows"": 2, ""num_columns"": 2, ""column_types"": {""Alpha"": ""int"", ""Beta"": ""float""}, ""column_max"": {""Alpha"": 7221.0, ""Beta"": -234.157552}, ""column_min"": {""Alpha"": 2394.0, ""Beta"": -2750.224263}, ""identifier_first"": null, ""identifier_last"": null, ""identifier_shortest"": null}"
"Alpha,Identifier
-19,slthsQP u-27
7773,xYjDoAoGQ
1418,
","{""num_rows"": 3, ""num_columns"": 2, ""column_types"": {""Alpha"": ""int"", ""Identifier"": ""str""}, ""column_max"": {""Alpha"": 7773.0, ""Identifier"": null}, ""column_min"": {""Alpha"": -19.0, ""Identifier"": null}, ""identifier_first"": ""slthsQP u-27"", ""identifier_last"": """", ""identifier_shortest"": """"}"
"Identifier,Beta
Hwsxnyd-850,akYYfvcgjoDBmQz
,dj
","{""num_rows"": 2, ""num_columns"": 2, ""column_types"": {""Identifier"": ""str"", ""Beta"": ""str""}, ""column_max"": {""Identifier"": null, ""Beta"": null}, ""column_min"": {""Identifier"": null, ""Beta"": null}, ""identifier_first"": ""Hwsxnyd-850"", ""identifier_last"": """", ""identifier_shortest"": """"}"
"Alpha,Identifier
QjfRasu,YMXP
zwYo ddJehps,
","{""num_rows"": 2, ""num_columns"": 2, ""column_types"": {""Alpha"": ""str"", ""Identifier"": ""str""}, ""column_max"": {""Alpha"": null, ""Identifier"": null}, ""column_min"": {""Alpha"": null, ""Identifier"": null}, ""identifier_first"": ""YMXP"", ""identifier_last"": """", ""identifier_shortest"": """"}"
"Alpha,Identifier
7334,
7537,UMVI-651
","{""num_rows"": 2, ""num_columns"": 2, ""column_types"": {""Alpha"": ""int"", ""Identifier"": ""str""}, ""column_max"": {""Alpha"": 7537.0, ""Identifier"": null}, ""column_min"": {""Alpha"": 7334.0, ""Identifier"": null}, ""identifier_first"": """", ""identifier_last"": ""UMVI-651"", ""identifier_shortest"": """"}"
"Alpha,Identifier
qU,
WO,xdqx-421
","{""num_rows"": 2, ""num_columns"": 2, ""column_types"": {""Alpha"": ""str"", ""Identifier"": ""str""}, ""column_max"": {""Alpha"": null, ""Identifier"": null}, ""column_min"": {""Alpha"": null, ""Identifier"": null}, ""identifier_first"": """", ""identifier_last"": ""xdqx-421"", ""identifier_shortest"": """"}"
"Alpha,Beta
2392.365266,978.736006
412.91216,2238.143338
","{""num_rows"": 2, ""num_columns"": 2, ""column_types"": {""Alpha"": ""float"", ""Beta"": ""float""}, ""column_max"": {""Alpha"": 2392.365266, ""Beta"": 2238.143338}, ""column_min"": {""Alpha"": 412.91216, ""Beta"": 978.736006}, ""identifier_first"": null, ""identifier_last"": null, ""identifier_shortest"": null}"
"Alpha,Beta
-1466,1523
4851,-562
9093,6646
","{""num_rows"": 3, ""num_columns"": 2, ""column_types"": {""Alpha"": ""int"", ""Beta"": ""int""}, ""column_max"": {""Alpha"": 9093.0, ""Beta"": 6646.0}, ""column_min"": {""Alpha"": -1466.0, ""Beta"": -562.0}, ""identifier_first"": null, ""identifier_last"": null, ""identifier_shortest"": null}"
"Alpha,Beta
-23.776507,-9.464817
-1337.219743,203.828587
","{""num_rows"": 2, ""num_columns"": 2, ""column_types"": {""Alpha"": ""float"", ""Beta"": ""float""}, ""column_max"": {""Alpha"": -23.776507, ""Beta"": 203.828587}, ""column_min"": {""Alpha"": -1337.219743, ""Beta"": -9.464817}, ""identifier_first"": null, ""identifier_last"": null, ""identifier_shortest"": null}"
"Alpha,Identifier
paZAi,Qjts
flIrAkXy tebhY,BnFcB-819
zrKdORITmtt,
","{""num_rows"": 3, ""num_columns"": 2, ""column_types"": {""Alpha"": ""str"", ""Identifier"": ""str""}, ""column_max"": {""Alpha"": null, ""Identifier"": null}, ""column_min"": {""Alpha"": null, ""Identifier"": null}, ""identifier_first"": ""Qjts"", ""identifier_last"": """", ""identifier_shortest"": """"}"
"Alpha,Beta
-5858,-6003
-1537,7363
9771,2125
","{""num_rows"": 3, ""num_columns"": 2, ""column_types"": {""Alpha"": ""int"", ""Beta"": ""int""}, ""column_max"": {""Alpha"": 9771.0, ""Beta"": 7363.0}, ""column_min"": {""Alpha"": -5858.0, ""Beta"": -6003.0}, ""identifier_first"": null, ""identifier_last"": null, ""identifier_shortest"": null}"
"Alpha,Beta
882.31201,nR
,jP
,gTdAZUENyv
","{""num_rows"": 3, ""num_columns"": 2, ""column_types"": {""Alpha"": ""float"", ""Beta"": ""str""}, ""column_max"": {""Alpha"": 882.31201, ""Beta"": null}, ""column_min"": {""Alpha"": 882.31201, ""Beta"": null}, ""identifier_first"": null, ""identifier_last"": null, ""identifier_shortest"": null}"
"Alpha,Identifier
GATqsAl,sIWKLPYvm-384
HQJfaLMTjH,LgFZ-432
MQMgDPpOZ JEbx,
","{""num_rows"": 3, ""num_columns"": 2, ""column_types"": {""Alpha"": ""str"", ""Identifier"": ""str""}, ""column_max"": {""Alpha"": null, ""Identifier"": null}, ""column_min"": {""Alpha"": null, ""Identifier"": null}, ""identifier_first"": ""sIWKLPYvm-384"", ""identifier_last"": """", ""identifier_shortest"": """"}"
"Alpha,Beta
uMOAYWP,9.654282
vRElpg,-379.983828
TdSHTXjxcijZP,687.101486
","{""num_rows"": 3, ""num_columns"": 2, ""column_types"": {""Alpha"": ""str"", ""Beta"": ""float""}, ""column_max"": {""Alpha"": null, ""Beta"": 687.101486}, ""column_min"": {""Alpha"": null, ""Beta"": -379.983828}, ""identifier_first"": null, ""identifier_last"": null, ""identifier_shortest"": null}"
"Alpha,Identifier
QaEjrwRGOC,ASfuCDahcT
eBVEz,
","{""num_rows"": 2, ""num_columns"": 2, ""column_types"": {""Alpha"": ""str"", ""Identifier"": ""str""}, ""column_max"": {""Alpha"": null, ""Identifier"": null}, ""column_min"": {""Alpha"": null, ""Identifier"": null}, ""identifier_first"": ""ASfuCDahcT"", ""identifier_last"": """", ""identifier_shortest"": """"}"
"Identifier,Beta
REBOawPirw,51.358361
,-464.379278
","{""num_rows"": 2, ""num_columns"": 2, ""column_types"": {""Identifier"": ""str"", ""Beta"": ""float""}, ""column_max"": {""Identifier"": null, ""Beta"": 51.358361}, ""column_min"": {""Identifier"": null, ""Beta"": -464.379278}, ""identifier_first"": ""REBOawPirw"", ""identifier_last"": """", ""identifier_shortest"": """"}"
"Alpha,Identifier
AVFhzewGygmqf,
hxlmfeB PPCUB,uc nZsuS-328
TcAdgtGzy,ExoIWcNE
","{""num_rows"": 3, ""num_columns"": 2, ""column_types"": {""Alpha"": ""str"", ""Identifier"": ""str""}, ""column_max"": {""Alpha"": null, ""Identifier"": null}, ""column_min"": {""Alpha"": null, ""Identifier"": null}, ""identifier_first"": """", ""identifier_last"": ""ExoIWcNE"", ""identifier_shortest"": """"}"
"Alpha,Identifier
YvEOCDZrB,SAYGC
sfPzDgNuyKKNH,
","{""num_rows"": 2, ""num_columns"": 2, ""column_types"": {""Alpha"": ""str"", ""Identifier"": ""str""}, ""column_max"": {""Alpha"": null, ""Identifier"": null}, ""column_min"": {""Alpha"": null, ""Identifier"": null}, ""identifier_first"": ""SAYGC"", ""identifier_last"": """", ""identifier_shortest"": """"}"
"Identifier,Beta
wSLii,cgpcwnf
,DBlg
MdWtXmNC-163,HdMQpPgAjp
","{""num_rows"": 3, ""num_columns"": 2, ""column_types"": {""Identifier"": ""str"", ""Beta"": ""str""}, ""column_max"": {""Identifier"": null, ""Beta"": null}, ""column_min"": {""Identifier"": null, ""Beta"": null}, ""identifier_first"": ""wSLii"", ""identifier_last"": ""MdWtXmNC-163"", ""identifier_shortest"": """"}"
"Alpha,Beta
BBUMkK,-1374.134012
motV,-178.071871
YCGjRLSYmkHk,883.113389
","{""num_rows"": 3, ""num_columns"": 2, ""column_types"": {""Alpha"": ""str"", ""Beta"": ""float""}, ""column_max"": {""Alpha"": null, ""Beta"": 883.113389}, ""column_min"": {""Alpha"": null, ""Beta"": -1374.134012}, ""identifier_first"": null, ""identifier_last"": null, ""identifier_shortest"": null}"
"Alpha,Identifier
,JOZoY
-230.184561,
1034.534334,aQTfA
","{""num_rows"": 3, ""num_columns"": 2, ""column_types"": {""Alpha"": ""float"", ""Identifier"": ""str""}, ""column_max"": {""Alpha"": 1034.534334, ""Identifier"": null}, ""column_min"": {""Alpha"": -230.184561, ""Identifier"": null}, ""identifier_first"": ""JOZoY"", ""identifier_last"": ""aQTfA"", ""identifier_shortest"": """"}"
"Identifier,Beta
CObjqviCZV,HfgaPTwxCCy
,lplP
","{""num_rows"": 2, ""num_columns"": 2, ""column_types"": {""Identifier"": ""str"", ""Beta"": ""str""}, ""column_max"": {""Identifier"": null, ""Beta"": null}, ""column_min"": {""Identifier"": null, ""Beta"": null}, ""identifier_first"": ""CObjqviCZV"", ""identifier_last"": """", ""identifier_shortest"": """"}"
"Identifier,Beta
ZBxykqKxX-720,DvDQdpbqiZrl
,lQXPkpHil
jMwCZ,
","{""num_rows"": 3, ""num_columns"": 2, ""column_types"": {""Identifier"": ""str"", ""Beta"": ""str""}, ""column_max"": {""Identifier"": null, ""Beta"": null}, ""column_min"": {""Identifier"": null, ""Beta"": null}, ""identifier_first"": ""ZBxykqKxX-720"", ""identifier_last"": ""jMwCZ"", ""identifier_shortest"": """"}"
"Alpha,Beta
-1729.38075,2214
730.831922,743
230.67708,-5831
","{""num_rows"": 3, ""num_columns"": 2, ""column_types"": {""Alpha"": ""float"", ""Beta"": ""int""}, ""column_max"": {""Alpha"": 730.831922, ""Beta"": 2214.0}, ""column_min"": {""Alpha"": -1729.38075, ""Beta"": -5831.0}, ""identifier_first"": null, ""identifier_last"": null, ""identifier_shortest"": null}"
"Alpha,Beta
623.487962,ENcdpjDXBogHF
-427.679598,NN
1242.86955,ximobSeeGIGEIO
","{""num_rows"": 3, ""num_columns"": 2, ""column_types"": {""Alpha"": ""float"", ""Beta"": ""str""}, ""column_max"": {""Alpha"": 1242.86955, ""Beta"": null}, ""column_min"": {""Alpha"": -427.679598, ""Beta"": null}, ""identifier_first"": null, ""identifier_last"": null, ""identifier_shortest"": null}"
"Identifier,Beta
trEsiI zu-157,9227.0
xOox-449,
,
","{""num_rows"": 3, ""num_columns"": 2, ""column_types"": {""Identifier"": ""str"", ""Beta"": ""int""}, ""column_max"": {""Identifier"": null, ""Beta"": 9227.0}, ""column_min"": {""Identifier"": null, ""Beta"": 9227.0}, ""identifier_first"": ""trEsiI zu-157"", ""identifier_last"": """", ""identifier_shortest"": """"}"
"Alpha,Identifier
,CLOtm
,
","{""num_rows"": 2, ""num_columns"": 2, ""column_types"": {""Alpha"": ""float"", ""Identifier"": ""str""}, ""column_max"": {""Alpha"": null, ""Identifier"": null}, ""column_min"": {""Alpha"": null, ""Identifier"": null}, ""identifier_first"": ""CLOtm"", ""identifier_last"": """", ""identifier_shortest"": """"}"
"Identifier,Beta
,876
PnnvbnP-894,1657
iqpBiLGy-195,1515
","{""num_rows"": 3, ""num_columns"": 2, ""column_types"": {""Identifier"": ""str"", ""Beta"": ""int""}, ""column_max"": {""Identifier"": null, ""Beta"": 1657.0}, ""column_min"": {""Identifier"": null, ""Beta"": 876.0}, ""identifier_first"": """", ""identifier_last"": ""iqpBiLGy-195"", ""identifier_shortest"": """"}"
"Identifier,Beta
,BOvXDYThbFbNSd
lKBluowIU,ekTgivPm
","{""num_rows"": 2, ""num_columns"": 2, ""column_types"": {""Identifier"": ""str"", ""Beta"": ""str""}, ""column_max"": {""Identifier"": null, ""Beta"": null}, ""column_min"": {""Identifier"": null, ""Beta"": null}, ""identifier_first"": """", ""identifier_last"": ""lKBluowIU"", ""identifier_shortest"": """"}"
"Identifier,Beta
vJiSkVF,CLIo
,JipopkfrXNtgppa
","{""num_rows"": 2, ""num_columns"": 2, ""column_types"": {""Identifier"": ""str"", ""Beta"": ""str""}, ""column_max"": {""Identifier"": null, ""Beta"": null}, ""column_min"": {""Identifier"": null, ""Beta"": null}, ""identifier_first"": ""vJiSkVF"", ""identifier_last"": """", ""identifier_shortest"": """"}"
"Alpha,Identifier
XQS,VaJUQnwUj-716
PYHzpxvDNn,
BFceYXdggE,GeqAQU
","{""num_rows"": 3, ""num_columns"": 2, ""column_types"": {""Alpha"": ""str"", ""Identifier"": ""str""}, ""column_max"": {""Alpha"": null, ""Identifier"": null}, ""column_min"": {""Alpha"": null, ""Identifier"": null}, ""identifier_first"": ""VaJUQnwUj-716"", ""identifier_last"": ""GeqAQU"", ""identifier_shortest"": """"}"
"Alpha,Identifier
6131,
7115,YPDue-897
","{""num_rows"": 2, ""num_columns"": 2, ""column_types"": {""Alpha"": ""int"", ""Identifier"": ""str""}, ""column_max"": {""Alpha"": 7115.0, ""Identifier"": null}, ""column_min"": {""Alpha"": 6131.0, ""Identifier"": null}, ""identifier_first"": """", ""identifier_last"": ""YPDue-897"", ""identifier_shortest"": """"}"
"Identifier,Beta
HgCRiiEBi,zxBX Ocqos
UhriZpf-986,QInDennRk
,Rtiulsfzw
","{""num_rows"": 3, ""num_columns"": 2, ""column_types"": {""Identifier"": ""str"", ""Beta"": ""str""}, ""column_max"": {""Identifier"": null, ""Beta"": null}, ""column_min"": {""Identifier"": null, ""Beta"": null}, ""identifier_first"": ""HgCRiiEBi"", ""identifier_last"": """", ""identifier_shortest"": """"}"
"Identifier,Beta
Bk sttX,-5049
,4165
","{""num_rows"": 2, ""num_columns"": 2, ""column_types"": {""Identifier"": ""str"", ""Beta"": ""int""}, ""column_max"": {""Identifier"": null, ""Beta"": 4165.0}, ""column_min"": {""Identifier"": null, ""Beta"": -5049.0}, ""identifier_first"": ""Bk sttX"", ""identifier_last"": """", ""identifier_shortest"": """"}"
"Alpha,Beta
KemWDkb JjhjlYJ,gbSMqnOyM
JIHadfpDEQ XHGw,vVGKbIllmsYl
","{""num_rows"": 2, ""num_columns"": 2, ""column_types"": {""Alpha"": ""str"", ""Beta"": ""str""}, ""column_max"": {""Alpha"": null, ""Beta"": null}, ""column_min"": {""Alpha"": null, ""Beta"": null}, ""identifier_first"": null, ""identifier_last"": null, ""identifier_shortest"": null}"
"Alpha,Identifier
jZhXoZLESuenxQU,cWWT M
nt,
","{""num_rows"": 2, ""num_columns"": 2, ""column_types"": {""Alpha"": ""str"", ""Identifier"": ""str""}, ""column_max"": {""Alpha"": null, ""Identifier"": null}, ""column_min"": {""Alpha"": null, ""Identifier"": null}, ""identifier_first"": ""cWWT M"", ""identifier_last"": """", ""identifier_shortest"": """"}"
"Identifier,Beta
,QzA PKw
LgatJ-682,tDXFyjVXlfB
","{""num_rows"": 2, ""num_columns"": 2, ""column_types"": {""Identifier"": ""str"", ""Beta"": ""str""}, ""column_max"": {""Identifier"": null, ""Beta"": null}, ""column_min"": {""Identifier"": null, ""Beta"": null}, ""identifier_first"": """", ""identifier_last"": ""LgatJ-682"", ""identifier_shortest"": """"}"
"Alpha,Beta
-4579,gotQxLWrKktI
9466,HEJc
","{""num_rows"": 2, ""num_columns"": 2, ""column_types"": {""Alpha"": ""int"", ""Beta"": ""str""}, ""column_max"": {""Alpha"": 9466.0, ""Beta"": null}, ""column_min"": {""Alpha"": -4579.0, ""Beta"": null}, ""identifier_first"": null, ""identifier_last"": null, ""identifier_shortest"": null}"
"Identifier,Beta
,nKDApbkrANFdvs
HcisqvI,TcmEiOxSwx
","{""num_rows"": 2, ""num_columns"": 2, ""column_types"": {""Identifier"": ""str"", ""Beta"": ""str""}, ""column_max"": {""Identifier"": null, ""Beta"": null}, ""column_min"": {""Identifier"": null, ""Beta"": null}, ""identifier_first"": """", ""identifier_last"": ""HcisqvI"", ""identifier_shortest"": """"}"
"Identifier,Beta
qmGSvQ,dLNPgyJiI
,sFershhlFwjROxT
ouRFWNwV,OYQ
","{""num_rows"": 3, ""num_columns"": 2, ""column_types"": {""Identifier"": ""str"", ""Beta"": ""str""}, ""column_max"": {""Identifier"": null, ""Beta"": null}, ""column_min"": {""Identifier"": null, ""Beta"": null}, ""identifier_first"": ""qmGSvQ"", ""identifier_last"": ""ouRFWNwV"", ""identifier_shortest"": """"}"
"Identifier,Beta
nHkl-706,
,-6607.0
U pEZywl-143,6838.0
","{""num_rows"": 3, ""num_columns"": 2, ""column_types"": {""Identifier"": ""str"", ""Beta"": ""int""}, ""column_max"": {""Identifier"": null, ""Beta"": 6838.0}, ""column_min"": {""Identifier"": null, ""Beta"": -6607.0}, ""identifier_first"": ""nHkl-706"", ""identifier_last"": ""U pEZywl-143"", ""identifier_shortest"": """"}"
"Identifier,Beta
,mnHW fsMdzDXID
TC HADddoe,tfiAFVphM
","{""num_rows"": 2, ""num_columns"": 2, ""column_types"": {""Identifier"": ""str"", ""Beta"": ""str""}, ""column_max"": {""Identifier"": null, ""Beta"": null}, ""column_min"": {""Identifier"": null, ""Beta"": null}, ""identifier_first"": """", ""identifier_last"": ""TC HADddoe"", ""identifier_shortest"": """"}"
"Identifier,Beta
X  yVfDHrI-738,556.548705
,-212.080122
","{""num_rows"": 2, ""num_columns"": 2, ""column_types"": {""Identifier"": ""str"", ""Beta"": ""float""}, ""column_max"": {""Identifier"": null, ""Beta"": 556.548705}, ""column_min"": {""Identifier"": null, ""Beta"": -212.080122}, ""identifier_first"": ""X  yVfDHrI-738"", ""identifier_last"": """", ""identifier_shortest"": """"}"
"Alpha,Identifier
-239.668781,
143.307733,mXenT
,SBUcEWlC
","{""num_rows"": 3, ""num_columns"": 2, ""column_types"": {""Alpha"": ""float"", ""Identifier"": ""str""}, ""column_max"": {""Alpha"": 143.307733, ""Identifier"": null}, ""column_min"": {""Alpha"": -239.668781, ""Identifier"": null}, ""identifier_first"": """", ""identifier_last"": ""SBUcEWlC"", ""identifier_shortest"": """"}"
"Identifier,Beta
,L Rdgh
KexvH,NDZZd
NyFtnIfs,XoiyPPNeZuBhsda
","{""num_rows"": 3, ""num_columns"": 2, ""column_types"": {""Identifier"": ""str"", ""Beta"": ""str""}, ""column_max"": {""Identifier"": null, ""Beta"": null}, ""column_min"": {""Identifier"": null, ""Beta"": null}, ""identifier_first"": """", ""identifier_last"": ""NyFtnIfs"", ""identifier_shortest"": """"}"
"Alpha,Identifier
283.725356,ebYBsdmQ
-287.155916,kvvyiXi-349
-1031.899983,
","{""num_rows"": 3, ""num_columns"": 2, ""column_types"": {""Alpha"": ""float"", ""Identifier"": ""str""}, ""column_max"": {""Alpha"": 283.725356, ""Identifier"": null}, ""column_min"": {""Alpha"": -1031.899983, ""Identifier"": null}, ""identifier_first"": ""ebYBsdmQ"", ""identifier_last"": """", ""identifier_shortest"": """"}"
"Identifier,Beta
,HZikQhzRLoN
DcjPbe ino,
gZVoI,xYpTSfQKWyAx
","{""num_rows"": 3, ""num_columns"": 2, ""column_types"": {""Identifier"": ""str"", ""Beta"": ""str""}, ""column_max"": {""Identifier"": null, ""Beta"": null}, ""column_min"": {""Identifier"": null, ""Beta"": null}, ""identifier_first"": """", ""identifier_last"": ""gZVoI"", ""identifier_shortest"": """"}"
"Alpha,Identifier
,
-530.67456,ATbl
1377.257483,aEVPDOG
","{""num_rows"": 3, ""num_columns"": 2, ""column_types"": {""Alpha"": ""float"", ""Identifier"": ""str""}, ""column_max"": {""Alpha"": 1377.257483, ""Identifier"": null}, ""column_min"": {""Alpha"": -530.67456, ""Identifier"": null}, ""identifier_first"": """", ""identifier_last"": ""aEVPDOG"", ""identifier_shortest"": """"}"
"Alpha,Identifier
-143.175974,vxTNsHuIuH-778
-1353.396321,
378.408803,R u g
","{""num_rows"": 3, ""num_columns"": 2, ""column_types"": {""Alpha"": ""float"", ""Identifier"": ""str""}, ""column_max"": {""Alpha"": 378.408803, ""Identifier"": null}, ""column_min"": {""Alpha"": -1353.396321, ""Identifier"": null}, ""identifier_first"": ""vxTNsHuIuH-778"", ""identifier_last"": ""R u g"", ""identifier_shortest"": """"}"
"Alpha,Identifier
kWIrwaEqeJW,rkPiKnqE-367
,
","{""num_rows"": 2, ""num_columns"": 2, ""column_types"": {""Alpha"": ""str"", ""Identifier"": ""str""}, ""column_max"": {""Alpha"": null, ""Identifier"": null}, ""column_min"": {""Alpha"": null, ""Identifier"": null}, ""identifier_first"": ""rkPiKnqE-367"", ""identifier_last"": """", ""identifier_shortest"": """"}"
"Alpha,Identifier
79.227014,VoqQlgx
,rMSsou-495
-1048.991677,
","{""num_rows"": 3, ""num_columns"": 2, ""column_types"": {""Alpha"": ""float"", ""Identifier"": ""str""}, ""column_max"": {""Alpha"": 79.227014, ""Identifier"": null}, ""column_min"": {""Alpha"": -1048.991677, ""Identifier"": null}, ""identifier_first"": ""VoqQlgx"", ""identifier_last"": """", ""identifier_shortest"": """"}"
"Alpha,Identifier
-9119,zeJmyW
4686,
2871,VzEs-729
","{""num_rows"": 3, ""num_columns"": 2, ""column_types"": {""Alpha"": ""int"", ""Identifier"": ""str""}, ""column_max"": {""Alpha"": 4686.0, ""Identifier"": null}, ""column_min"": {""Alpha"": -9119.0, ""Identifier"": null}, ""identifier_first"": ""zeJmyW"", ""identifier_last"": ""VzEs-729"", ""identifier_shortest"": """"}"
"Alpha,Beta
-75.120588,GsFZKhvyeLq
-391.619811,db
139.978106,ShtpmIgjMGdT
","{""num_rows"": 3, ""num_columns"": 2, ""column_types"": {""Alpha"": ""float"", ""Beta"": ""str""}, ""column_max"": {""Alpha"": 139.978106, ""Beta"": null}, ""column_min"": {""Alpha"": -391.619811, ""Beta"": null}, ""identifier_first"": null, ""identifier_last"": null, ""identifier_shortest"": null}"
"Alpha,Identifier
-1199,
2917,kVarhmues
","{""num_rows"": 2, ""num_columns"": 2, ""column_types"": {""Alpha"": ""int"", ""Identifier"": ""str""}, ""column_max"": {""Alpha"": 2917.0, ""Identifier"": null}, ""column_min"": {""Alpha"": -1199.0, ""Identifier"": null}, ""identifier_first"": """", ""identifier_last"": ""kVarhmues"", ""identifier_shortest"": """"}"
"Identifier,Beta
fshpNoseiO,FlDWqyWuvdzxQL
,qzYGkp
","{""num_rows"": 2, ""num_columns"": 2, ""column_types"": {""Identifier"": ""str"", ""Beta"": ""str""}, ""column_max"": {""Identifier"": null, ""Beta"": null}, ""column_min"": {""Identifier"": null, ""Beta"": null}, ""identifier_first"": ""fshpNoseiO"", ""identifier_last"": """", ""identifier_shortest"": """"}"
"Identifier,Beta
,
EZLWPY-632,USE
","{""num_rows"": 2, ""num_columns"": 2, ""column_types"": {""Identifier"": ""str"", ""Beta"": ""str""}, ""column_max"": {""Identifier"": null, ""Beta"": null}, ""column_min"": {""Identifier"": null, ""Beta"": null}, ""identifier_first"": """", ""identifier_last"": ""EZLWPY-632"", ""identifier_shortest"": """"}"
"Alpha,Beta
IdTvwp,ESHJVYuk
TaAqOrx,pKoOTEMWVaLP
FcKrN,RO
","{""num_rows"": 3, ""num_columns"": 2, ""column_types"": {""Alpha"": ""str"", ""Beta"": ""str""}, ""column_max"": {""Alpha"": null, ""Beta"": null}, ""column_min"": {""Alpha"": null, ""Beta"": null}, ""identifier_first"": null, ""identifier_last"": null, ""identifier_shortest"": null}"
"Identifier,Beta
,-548.920413
WjprOYg a-978,-978.057706
","{""num_rows"": 2, ""num_columns"": 2, ""column_types"": {""Identifier"": ""str"", ""Beta"": ""float""}, ""column_max"": {""Identifier"": null, ""Beta"": -548.920413}, ""column_min"": {""Identifier"": null, ""Beta"": -978.057706}, ""identifier_first"": """", ""identifier_last"": ""WjprOYg a-978"", ""identifier_shortest"": """"}"
